Subject,Session,Run,Bval_Word_Count,Denoised_Log,Denoised_Status
sub-14761x1340,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14761x1340,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14732x640,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14732x640,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14714x1840,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14714x1840,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14858x320,ses-SCAP1,run-08,33,TRUE,TRUE
sub-14858x320,ses-SCAP1,run-01,66,TRUE,TRUE
sub-14875x1040,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14875x1040,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14789x820,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14789x820,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14752x640,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14752x640,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14864x3840,ses-SCAP1,,33,TRUE,TRUE
sub-14711x820,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14872x1640,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14872x1640,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14799x220,ses-SCAP1,,33,TRUE,TRUE
sub-14761x1140,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14761x1140,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14872x4040,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14872x4040,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14969x720,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14711x720,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14757x340,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14757x340,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14867x3740,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14872x1540,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14872x1540,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14757x840,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14757x840,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14796x420,ses-SCAP1,,33,TRUE,TRUE
sub-14761x1440,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14761x1440,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14757x1340,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14757x1340,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14967x2640,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14967x2640,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14922x340,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14922x340,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14735x2840,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14735x2840,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14739x320,ses-SCAP1,,33,TRUE,TRUE
sub-14781x1640,ses-SCAP1,run-02,33,TRUE,FALSE
sub-14781x1640,ses-SCAP1,run-01,33,TRUE,FALSE
sub-14870x1040,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14870x1040,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14729x620,ses-SCAP1,,33,TRUE,TRUE
sub-14971x940,ses-SCAP1,,33,TRUE,TRUE
sub-14767x2740,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14767x2740,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14736x720,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14770x720,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14742x720,ses-SCAP1,,33,TRUE,TRUE
sub-14777x320,ses-SCAP1,,33,TRUE,TRUE
sub-14786x2440,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14786x2440,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14753x620,ses-SCAP1,,33,TRUE,TRUE
sub-14832x820,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14875x840,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14875x840,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14813x940,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14813x940,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14777x420,ses-SCAP1,,33,TRUE,TRUE
sub-14787x520,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14787x520,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14735x3140,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14735x3140,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14921x820,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14862x320,ses-SCAP1,,33,TRUE,TRUE
sub-14761x1240,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14761x1240,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14841x1340,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14723x1040,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14723x1040,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14909x1540,ses-SCAP1,,33,TRUE,TRUE
sub-14908x3540,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14908x3540,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14742x320,ses-SCAP1,,33,TRUE,TRUE
sub-14744x540,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14744x540,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14744x640,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14744x640,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14875x1140,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14875x1140,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14862x720,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14733x1540,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14733x1540,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14741x2240,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14741x2240,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14922x440,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14922x440,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14773x320,ses-SCAP1,,33,TRUE,TRUE
sub-14706x220,ses-SCAP1,,33,TRUE,TRUE
sub-14858x420,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14708x1040,ses-SCAP1,run-03,33,TRUE,TRUE
sub-14708x1040,ses-SCAP1,run-04,33,TRUE,TRUE
sub-14708x1040,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14867x3540,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14753x520,ses-SCAP1,,33,TRUE,TRUE
sub-14705x1440,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14705x1440,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14757x140,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14755x1540,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14755x1540,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14787x320,ses-SCAP1,,33,TRUE,TRUE
sub-14832x720,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14832x720,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14786x2340,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14786x2340,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14718x620,ses-SCAP1,,33,TRUE,TRUE
sub-14718x520,ses-SCAP1,,33,TRUE,TRUE
sub-14735x1640,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14735x1640,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14824x1340,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14824x1340,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14770x620,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14908x3740,ses-SCAP1,,33,TRUE,TRUE
sub-14824x1240,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14824x1240,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14706x320,ses-SCAP1,,33,TRUE,TRUE
sub-14773x120,ses-SCAP1,,33,TRUE,TRUE
sub-14746x840,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14746x840,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14769x240,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14769x240,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14767x2240,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14767x2240,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14752x740,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14752x740,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14751x620,ses-SCAP1,,33,TRUE,TRUE
sub-14746x940,ses-SCAP1,run-07,33,TRUE,TRUE
sub-14746x940,ses-SCAP1,run-08,33,TRUE,TRUE
sub-14869x1340,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14869x1340,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14872x1340,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14872x1340,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14757x1640,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14757x1640,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14799x120,ses-SCAP1,,33,TRUE,TRUE
sub-14741x2340,ses-SCAP1,run-01,33,TRUE,TRUE
sub-14741x2340,ses-SCAP1,run-02,33,TRUE,TRUE
sub-14782x320,ses-SCAP1,,33,TRUE,TRUE
